Bin index,yH298-H2O2-treated-facs-pool2,yH298-H2O2-treated-facs-pool2 rank
CP048238.1-28,31,490
CP048238.1-29,59,175
CP048238.1-30,5,1163
CP048238.1-31,59,176
CP048238.1-32,47,265
CP048238.1-33,42,324
CP048238.1-34,29,519
CP048238.1-35,86,66
CP048238.1-36,59,177
CP048238.1-37,40,353
CP048238.1-38,45,288
CP048238.1-39,152,15
CP048238.1-40,113,38
CP048238.1-41,32,474
CP048238.1-42,20,765
CP048238.1-43,48,256
CP048238.1-44,182,7
CP048238.1-45,56,193
CP048238.1-46,15,916
CP048238.1-47,39,369
CP048238.1-48,65,138
CP048238.1-49,37,390
CP048238.1-50,32,475
CP048238.1-51,44,299
CP048238.1-52,23,671
CP048238.1-53,39,370
CP048238.1-54,48,257
CP048238.1-55,60,169
CP048238.1-56,40,354
CP048238.1-57,43,312
CP048238.1-58,0,1250
CP048238.1-59,8,1098
CP048238.1-60,41,339
CP048238.1-61,0,1251
CP048238.1-62,17,855
CP048238.1-63,8,1099
CP048238.1-64,13,969
CP048238.1-65,1,1233
CP048238.1-66,18,826
CP048238.1-67,24,648
CP048238.1-68,83,76
CP048238.1-69,21,748
CP048238.1-70,76,105
CP048238.1-71,63,148
CP048238.1-72,25,614
CP048238.1-73,22,705
CP048238.1-74,0,1252
CP048238.1-75,2,1222
CP048239.1-0,3,1205
CP048239.1-1,0,1253
CP048239.1-2,13,970
CP048239.1-3,56,194
CP048239.1-4,30,504
CP048239.1-5,50,236
CP048239.1-6,60,170
CP048239.1-7,12,1000
CP048239.1-8,33,455
CP048239.1-9,7,1123
CP048239.1-10,51,228
CP048239.1-11,15,917
CP048239.1-12,16,890
CP048239.1-13,15,918
CP048239.1-14,26,588
CP048239.1-15,51,229
CP048239.1-16,25,615
CP048239.1-17,122,31
CP048239.1-18,79,92
CP048239.1-19,25,616
CP048239.1-20,51,230
CP048239.1-21,31,491
CP048239.1-22,81,84
CP048239.1-23,188,5
CP048239.1-24,125,30
CP048239.1-25,49,245
CP048239.1-26,30,505
CP048239.1-27,95,53
CP048239.1-28,65,139
CP048239.1-29,53,205
CP048239.1-30,70,120
CP048239.1-31,62,155
CP048239.1-32,22,706
CP048239.1-33,40,355
CP048239.1-34,22,707
CP048239.1-35,31,492
CP048239.1-36,25,617
CP048239.1-37,5,1164
CP048239.1-38,26,589
CP048239.1-39,29,520
CP048239.1-40,42,325
