Bin index,yH299-parent-pool3,yH299-parent-pool3 rank
CP048237.1-33,16,894
CP048237.1-34,27,580
CP048237.1-35,28,558
CP048237.1-36,29,536
CP048237.1-37,14,959
CP048237.1-38,44,304
CP048237.1-39,48,267
CP048237.1-40,54,214
CP048237.1-41,12,1013
CP048237.1-42,17,862
CP048237.1-43,16,895
CP048237.1-44,20,780
CP048237.1-45,6,1161
CP048237.1-46,18,831
CP048237.1-47,17,863
CP048237.1-48,38,385
CP048237.1-49,23,692
CP048237.1-50,0,1252
CP048237.1-51,42,325
CP048237.1-52,15,923
CP048237.1-53,15,924
CP048237.1-54,54,215
CP048237.1-55,19,807
CP048237.1-56,6,1162
CP048237.1-57,30,519
CP048237.1-58,9,1092
CP048237.1-59,4,1196
CP048237.1-60,41,340
CP048237.1-61,46,286
CP048237.1-62,25,625
CP048237.1-63,20,781
CP048237.1-64,47,277
CP048237.1-65,34,448
CP048237.1-66,26,602
CP048237.1-67,25,626
CP048237.1-68,21,752
CP048237.1-69,24,658
CP048237.1-70,21,753
CP048237.1-71,23,693
CP048237.1-72,6,1163
CP048237.1-73,79,86
CP048237.1-74,37,402
CP048237.1-75,46,287
CP048237.1-76,16,896
CP048237.1-77,15,925
CP048237.1-78,33,464
CP048237.1-79,23,694
CP048237.1-80,28,559
CP048237.1-81,58,180
CP048237.1-82,72,106
CP048237.1-83,56,202
CP048237.1-84,21,754
CP048237.1-85,55,210
CP048237.1-86,58,181
CP048237.1-87,59,174
CP048237.1-88,57,188
CP048237.1-89,29,537
CP048237.1-90,41,341
CP048237.1-91,132,22
CP048237.1-92,60,166
CP048237.1-93,21,755
CP048237.1-94,32,480
CP048237.1-95,146,15
CP048237.1-96,54,216
CP048237.1-97,248,1
CP048237.1-98,103,42
CP048237.1-99,189,3
CP048237.1-100,42,326
CP048237.1-101,25,627
CP048237.1-102,38,386
CP048237.1-103,25,628
CP048237.1-104,46,288
CP048237.1-105,19,808
CP048238.1-0,5,1177
CP048238.1-1,0,1253
CP048238.1-2,40,354
CP048238.1-3,21,756
CP048238.1-4,65,136
CP048238.1-5,21,757
CP048238.1-6,64,142
CP048238.1-7,40,355
CP048238.1-8,40,356
CP048238.1-9,17,864
CP048238.1-10,20,782
CP048238.1-11,45,294
CP048238.1-12,33,465
CP048238.1-13,32,481
CP048238.1-14,18,832
CP048238.1-15,60,167
CP048238.1-16,30,520
CP048238.1-17,69,120
CP048238.1-18,36,412
CP048238.1-19,53,225
CP048238.1-20,25,629
CP048238.1-21,13,982
CP048238.1-22,22,727
CP048238.1-23,11,1041
CP048238.1-24,16,897
CP048238.1-25,37,403
CP048238.1-26,23,695
CP048238.1-27,69,121
CP048238.1-28,57,189
CP048238.1-29,71,110
CP048238.1-30,9,1093
CP048238.1-31,60,168
CP048238.1-32,60,169
CP048238.1-33,40,357
CP048238.1-34,18,833
CP048238.1-35,82,78
CP048238.1-36,73,104
CP048238.1-37,61,161
CP048238.1-38,36,413
CP048238.1-39,144,16
CP048238.1-40,105,40
CP048238.1-41,26,603
CP048238.1-42,28,560
CP048238.1-43,51,233
CP048238.1-44,171,7
CP048238.1-45,50,246
CP048238.1-46,7,1139
CP048238.1-47,41,342
CP048238.1-48,56,203
CP048238.1-49,30,521
CP048238.1-50,22,728
CP048238.1-51,48,268
CP048238.1-52,22,729
CP048238.1-53,47,278
CP048238.1-54,50,247
CP048238.1-55,51,234
CP048238.1-56,41,343
CP048238.1-57,44,305
CP048238.1-58,0,1254
CP048238.1-59,21,758
CP048238.1-60,42,327
CP048238.1-61,0,1255
CP048238.1-62,5,1178
CP048238.1-63,7,1140
CP048238.1-64,7,1141
CP048238.1-65,5,1179
CP048238.1-66,12,1014
CP048238.1-67,27,581
CP048238.1-68,62,151
CP048238.1-69,19,809
CP048238.1-70,56,204
CP048238.1-71,51,235
CP048238.1-72,22,730
CP048238.1-73,28,561
CP048238.1-74,0,1256
CP048238.1-75,5,1180
CP048239.1-0,7,1142
CP048239.1-1,0,1257
CP048239.1-2,10,1069
CP048239.1-3,49,255
CP048239.1-4,30,522
CP048239.1-5,48,269
CP048239.1-6,67,127
CP048239.1-7,8,1123
CP048239.1-8,40,358
CP048239.1-9,9,1094
CP048239.1-10,62,152
CP048239.1-11,12,1015
CP048239.1-12,18,834
CP048239.1-13,11,1042
CP048239.1-14,23,696
CP048239.1-15,62,153
CP048239.1-16,41,344
CP048239.1-17,99,47
CP048239.1-18,92,59
CP048239.1-19,35,429
CP048239.1-20,42,328
CP048239.1-21,24,659
CP048239.1-22,70,116
CP048239.1-23,174,6
CP048239.1-24,124,25
CP048239.1-25,50,248
CP048239.1-26,22,731
CP048239.1-27,87,67
CP048239.1-28,57,190
CP048239.1-29,47,279
CP048239.1-30,75,97
CP048239.1-31,56,205
CP048239.1-32,19,810
CP048239.1-33,38,387
CP048239.1-34,21,759
CP048239.1-35,31,500
CP048239.1-36,21,760
CP048239.1-37,5,1181
CP048239.1-38,32,482
CP048239.1-39,36,414
CP048239.1-40,54,217
CP048239.1-41,44,306
CP048239.1-42,28,562
CP048239.1-43,12,1016
CP048239.1-44,34,449
CP048239.1-45,18,835
CP048239.1-46,14,960
CP048239.1-47,7,1143
CP048239.1-48,15,926
CP048239.1-49,17,865
CP048239.1-50,11,1043
CP048239.1-51,11,1044
CP048239.1-52,1,1242
CP048239.1-53,14,961
CP048239.1-54,11,1045
CP048239.1-55,22,732
CP048239.1-56,8,1124
CP048239.1-57,5,1182
CP048239.1-58,6,1164
CP048239.1-59,24,660
CP048239.1-60,42,329
CP048239.1-61,35,430
CP048239.1-62,24,661
CP048239.1-63,4,1197
CP048239.1-64,23,697
CP048239.1-65,35,431
CP048239.1-66,17,866
CP048239.1-67,11,1046
CP048239.1-68,27,582
CP048239.1-69,8,1125
CP048239.1-70,18,836
CP048239.1-71,23,698
CP048239.1-72,44,307
CP048239.1-73,32,483
CP048239.1-74,15,927
CP048239.1-75,13,983
CP048239.1-76,19,811
CP048239.1-77,14,962
CP048239.1-78,15,928
CP048239.1-79,10,1070
CP048239.1-80,5,1183
CP048239.1-81,12,1017
CP048239.1-82,1,1243
CP048239.1-83,11,1047
CP048239.1-84,12,1018
CP048239.1-85,2,1226
CP048239.1-86,40,359
CP048239.1-87,33,466
CP048239.1-88,22,733
CP048239.1-89,16,898
CP048239.1-90,23,699
CP048239.1-91,15,929
CP048239.1-92,9,1095
CP048239.1-93,17,867
CP048239.1-94,22,734
CP048239.1-95,35,432
CP048239.1-96,23,700
CP048239.1-97,4,1198
CP048239.1-98,12,1019
CP048239.1-99,23,701
CP048239.1-100,23,702
CP048239.1-101,26,604
CP048239.1-102,29,538
CP048239.1-103,18,837
CP048239.1-104,9,1096
CP048239.1-105,20,783
CP048239.1-106,25,630
CP048239.1-107,5,1184
CP048239.1-108,4,1199
CP048239.1-109,9,1097
CP048239.1-110,18,838
CP048239.1-111,20,784
CP048239.1-112,27,583
CP048239.1-113,20,785
CP048239.1-114,24,662
CP048239.1-115,18,839
CP048239.1-116,22,735
CP048239.1-117,22,736
CP048239.1-118,34,450
CP048239.1-119,28,563
CP048239.1-120,10,1071
CP048239.1-121,9,1098
CP048239.1-122,1,1244
CP048240.1-0,1,1245
CP048240.1-1,2,1227
CP048240.1-2,36,415
CP048240.1-3,58,182
CP048240.1-4,23,703
CP048240.1-5,9,1099
CP048240.1-6,44,308
CP048240.1-7,48,270
CP048240.1-8,26,605
CP048240.1-9,23,704
CP048240.1-10,9,1100
CP048240.1-11,23,705
CP048240.1-12,28,564
CP048240.1-13,11,1048
CP048240.1-14,65,137
CP048240.1-15,39,368
CP048240.1-16,43,314
CP048240.1-17,37,404
CP048240.1-18,58,183
CP048240.1-19,70,117
CP048240.1-20,41,345
CP048240.1-21,34,451
CP048240.1-22,35,433
CP048240.1-23,45,295
CP048240.1-24,82,79
CP048240.1-25,148,12
CP048240.1-26,118,32
CP048240.1-27,150,11
CP048240.1-28,102,44
CP048240.1-29,104,41
CP048240.1-30,43,315
CP048240.1-31,47,280
CP048240.1-32,59,175
CP048240.1-33,40,360
CP048240.1-34,88,63
CP048240.1-35,7,1144
CP048240.1-36,25,631
CP048240.1-37,51,236
CP048240.1-38,43,316
CP048240.1-39,45,296
CP048240.1-40,82,80
CP048240.1-41,31,501
CP048240.1-42,37,405
CP048240.1-43,24,663
CP048240.1-44,30,523
CP048240.1-45,45,297
CP048240.1-46,29,539
CP048240.1-47,23,706
CP048240.1-48,49,256
CP048240.1-49,21,761
CP048240.1-50,33,467
CP048240.1-51,21,762
CP048240.1-52,28,565
CP048240.1-53,18,840
CP048240.1-54,8,1126
CP048240.1-55,10,1072
CP048240.1-56,57,191
CP048240.1-57,54,218
CP048240.1-58,27,584
CP048240.1-59,19,812
CP048240.1-60,24,664
CP048240.1-61,43,317
CP048240.1-62,12,1020
CP048240.1-63,18,841
CP048240.1-64,4,1200
CP048240.1-65,26,606
CP048240.1-66,13,984
CP048240.1-67,25,632
CP048240.1-68,12,1021
CP048240.1-69,24,665
CP048240.1-70,13,985
CP048240.1-71,27,585
CP048240.1-72,68,124
CP048240.1-73,45,298
CP048240.1-74,31,502
CP048240.1-75,15,930
CP048240.1-76,29,540
CP048240.1-77,42,330
CP048240.1-78,14,963
CP048240.1-79,8,1127
CP048240.1-80,12,1022
CP048240.1-81,16,899
CP048240.1-82,9,1101
CP048240.1-83,9,1102
CP048240.1-84,28,566
CP048240.1-85,19,813
CP048240.1-86,26,607
CP048240.1-87,33,468
CP048240.1-88,71,111
CP048240.1-89,16,900
CP048240.1-90,9,1103
CP048240.1-91,27,586
CP048240.1-92,11,1049
CP048240.1-93,24,666
CP048240.1-94,5,1185
CP048240.1-95,21,763
CP048240.1-96,7,1145
CP048240.1-97,25,633
CP048240.1-98,13,986
CP048240.1-99,23,707
CP048240.1-100,11,1050
CP048240.1-101,7,1146
CP048240.1-102,7,1147
CP048240.1-103,26,608
CP048240.1-104,33,469
CP048240.1-105,21,764
CP048240.1-106,44,309
CP048240.1-107,46,289
CP048240.1-108,5,1186
CP048240.1-109,16,901
CP048240.1-110,14,964
CP048240.1-111,51,237
CP048240.1-112,26,609
CP048240.1-113,14,965
CP048240.1-114,4,1201
CP048240.1-115,54,219
CP048240.1-116,24,667
CP048240.1-117,49,257
CP048240.1-118,26,610
CP048240.1-119,14,966
CP048240.1-120,20,786
CP048240.1-121,14,967
CP048240.1-122,14,968
CP048240.1-123,18,842
CP048240.1-124,18,843
CP048240.1-125,18,844
CP048240.1-126,54,220
CP048240.1-127,38,388
CP048240.1-128,17,868
CP048240.1-129,35,434
CP048240.1-130,7,1148
CP048241.1-0,6,1165
CP048241.1-1,9,1104
CP048241.1-2,31,503
CP048241.1-3,24,668
CP048241.1-4,36,416
CP048241.1-5,27,587
CP048241.1-6,17,869
CP048241.1-7,53,226
CP048241.1-8,6,1166
CP048241.1-9,56,206
CP048241.1-10,17,870
CP048241.1-11,64,143
CP048241.1-12,13,987
CP048241.1-13,6,1167
CP048241.1-14,21,765
CP048241.1-15,24,669
CP048241.1-16,12,1023
CP048241.1-17,7,1149
CP048241.1-18,65,138
CP048241.1-19,4,1202
CP048241.1-20,3,1213
CP048241.1-21,10,1073
CP048241.1-22,74,100
CP048241.1-23,7,1150
CP048241.1-24,18,845
CP048241.1-25,17,871
CP048241.1-26,6,1168
CP048241.1-27,17,872
CP048241.1-28,12,1024
CP048241.1-29,20,787
CP048241.1-30,10,1074
CP048241.1-31,7,1151
CP048241.1-32,9,1105
CP048241.1-33,32,484
CP048241.1-34,15,931
CP048241.1-35,57,192
CP048241.1-36,22,737
CP048241.1-37,22,738
CP048241.1-38,39,369
CP048241.1-39,21,766
CP048241.1-40,22,739
CP048241.1-41,3,1214
CP048241.1-42,23,708
CP048241.1-43,13,988
CP048241.1-44,38,389
CP048241.1-45,37,406
CP048241.1-46,34,452
CP048241.1-47,47,281
CP048241.1-48,29,541
CP048241.1-49,36,417
CP048241.1-50,33,470
CP048241.1-51,23,709
CP048241.1-52,7,1152
CP048241.1-53,9,1106
CP048241.1-54,35,435
CP048241.1-55,20,788
CP048241.1-56,13,989
CP048241.1-57,34,453
CP048241.1-58,25,634
CP048241.1-59,20,789
CP048241.1-60,17,873
CP048241.1-61,42,331
CP048241.1-62,18,846
CP048241.1-63,16,902
CP048241.1-64,28,567
CP048241.1-65,23,710
CP048241.1-66,38,390
CP048241.1-67,29,542
CP048241.1-68,59,176
CP048241.1-69,44,310
CP048241.1-70,14,969
CP048241.1-71,11,1051
CP048241.1-72,19,814
CP048241.1-73,20,790
CP048241.1-74,36,418
CP048241.1-75,39,370
CP048241.1-76,33,471
CP048241.1-77,13,990
CP048241.1-78,40,361
CP048241.1-79,66,131
CP048241.1-80,3,1215
CP048241.1-81,20,791
CP048241.1-82,9,1107
CP048241.1-83,36,419
CP048241.1-84,39,371
CP048241.1-85,41,346
CP048241.1-86,31,504
CP048241.1-87,20,792
CP048241.1-88,35,436
CP048241.1-89,43,318
CP048241.1-90,25,635
CP048241.1-91,59,177
CP048241.1-92,76,96
CP048241.1-93,39,372
CP048241.1-94,51,238
CP048241.1-95,32,485
CP048241.1-96,4,1203
CP048241.1-97,11,1052
CP048241.1-98,86,69
CP048241.1-99,18,847
CP048241.1-100,25,636
CP048241.1-101,10,1075
CP048241.1-102,43,319
CP048241.1-103,43,320
CP048241.1-104,10,1076
CP048241.1-105,17,874
CP048241.1-106,32,486
CP048241.1-107,17,875
CP048241.1-108,27,588
CP048241.1-109,19,815
CP048241.1-110,45,299
CP048241.1-111,13,991
CP048241.1-112,9,1108
CP048241.1-113,13,992
CP048241.1-114,10,1077
CP048241.1-115,39,373
CP048241.1-116,25,637
CP048241.1-117,55,211
CP048241.1-118,36,420
CP048241.1-119,29,543
