Bin index,SRR7824843_1,SRR7824843_1 rank
4-154,208,373
4-155,197,422
4-156,68,1340
4-157,77,1276
4-158,130,832
4-159,38,1416
4-160,1,1431
5-0,84,1218
5-1,135,794
5-2,34,1419
5-3,97,1100
5-4,163,609
5-5,57,1380
5-6,114,951
5-7,154,662
5-8,216,342
5-9,94,1138
5-10,177,536
5-11,201,399
5-12,173,557
5-13,208,374
5-14,129,839
5-15,198,414
5-16,220,320
5-17,244,238
5-18,116,930
5-19,213,351
5-20,197,423
5-21,204,386
5-22,201,400
5-23,200,406
5-24,177,537
5-25,234,272
5-26,209,368
5-27,175,549
5-28,192,460
5-29,236,262
5-30,198,415
5-31,245,233
5-32,181,512
5-33,227,299
5-34,187,483
5-35,189,475
5-36,218,329
5-37,285,145
5-38,197,424
5-39,215,344
5-40,261,195
5-41,264,189
5-42,310,106
5-43,219,325
5-44,328,89
5-45,177,538
5-46,166,593
5-47,104,1047
5-48,263,192
5-49,289,137
5-50,261,196
5-51,278,155
5-52,351,70
5-53,305,115
5-54,240,250
5-55,174,555
5-56,296,123
5-57,221,312
5-58,267,179
5-59,273,168
5-60,256,206
5-61,221,313
5-62,213,352
5-63,212,355
5-64,186,487
5-65,204,387
5-66,183,506
5-67,238,256
5-68,193,457
5-69,250,218
5-70,170,574
5-71,125,861
5-72,95,1131
5-73,160,626
5-74,199,411
5-75,215,345
5-76,172,564
5-77,192,461
5-78,170,575
5-79,158,635
5-80,197,425
5-81,227,300
5-82,234,273
5-83,178,530
5-84,171,572
5-85,129,840
5-86,177,539
5-87,200,407
5-88,236,263
5-89,224,307
5-90,70,1325
5-91,186,488
5-92,156,649
5-93,199,412
5-94,172,565
5-95,169,580
5-96,211,361
5-97,205,381
5-98,159,629
5-99,107,1022
5-100,139,763
5-101,135,795
5-102,72,1313
5-103,163,610
5-104,195,443
5-105,147,704
5-106,138,769
5-107,157,640
5-108,209,369
5-109,143,731
5-110,135,796
5-111,173,558
5-112,68,1341
5-113,157,641
5-114,105,1038
5-115,194,450
5-116,72,1314
5-117,103,1053
5-118,34,1420
5-119,4,1429
6-0,30,1425
6-1,125,862
6-2,144,726
6-3,110,998
6-4,121,900
6-5,88,1191
6-6,115,938
6-7,137,777
6-8,138,770
6-9,147,705
6-10,141,747
6-11,109,1005
6-12,146,713
6-13,73,1308
6-14,148,699
6-15,141,748
6-16,142,742
6-17,113,963
6-18,131,827
6-19,113,964
6-20,60,1373
6-21,119,917
6-22,123,883
6-23,114,952
6-24,55,1386
6-25,145,719
6-26,67,1346
6-27,128,844
6-28,197,426
6-29,122,893
6-30,186,489
6-31,137,778
6-32,140,757
6-33,155,656
6-34,124,873
6-35,100,1072
6-36,185,493
6-37,126,851
6-38,116,931
6-39,114,953
6-40,135,797
6-41,155,657
6-42,141,749
6-43,205,382
6-44,79,1258
6-45,184,499
6-46,66,1355
6-47,130,833
6-48,129,841
6-49,65,1356
6-50,133,811
6-51,150,685
6-52,157,642
6-53,169,581
6-54,144,727
6-55,166,594
6-56,168,586
6-57,148,700
6-58,172,566
6-59,235,268
6-60,154,663
6-61,201,401
6-62,121,901
6-63,124,874
6-64,202,395
6-65,144,728
6-66,203,390
