Standard name,Common name,Type,Lib _1
C5_02450W_A,,ORF|Uncharacterized,33
C5_02460C_A,ECM331,ORF|Verified,17
C5_02470W_A,INT1,ORF|Verified,86
C5_02480W_A,,ORF|Verified,4
C5_02490C_A,TIF5,ORF|Uncharacterized,0
C5_02500C_A,,ORF|Uncharacterized,27
C5_02510C_A,,ORF|Uncharacterized,20
C5_02520W_A,,ORF|Uncharacterized,16
C5_02530W_A,UAP1,ORF|Verified,1
C5_02540C_A,SPR28,ORF|Uncharacterized,37
C5_02550C_A,UTP13,ORF|Verified,2
C5_02560C_A,,ORF|Uncharacterized,31
C5_02570W_A,MNN13,ORF|Uncharacterized,33
C5_02580W_A,,ORF|Uncharacterized,3
C5_02590C_A,,ORF|Uncharacterized,4
C5_02600W_A,PUT1,ORF|Uncharacterized,14
C5_02610C_A,RAD9,ORF|Verified,53
C5_02620C_A,,ORF|Uncharacterized,39
C5_02630C_A,MNN1,ORF|Uncharacterized,46
C5_02640W_A,,ORF|Uncharacterized,21
C5_02650C_A,IFH1,ORF|Verified,4
C5_02660C_A,,ORF|Uncharacterized,2
C5_02670W_A,BUR2,ORF|Uncharacterized,14
C5_02680W_A,,ORF|Uncharacterized,16
C5_02690W_A,,ORF|Uncharacterized,17
C5_02700W_A,CTA7,ORF|Verified,31
C5_02710W_A,TRR1,ORF|Verified,2
C5_02720W_A,PEP12,ORF|Verified,12
C5_02730C_A,,ORF|Uncharacterized,0
C5_02740W_A,,ORF|Uncharacterized,13
C5_02750C_A,,ORF|Uncharacterized,30
C5_02760W_A,CKB2,ORF|Verified,2
C5_02770W_A,MSW1,ORF|Uncharacterized,4
C5_02780W_A,,ORF|Uncharacterized,11
C5_02790C_A,GAP1,ORF|Verified,22
C5_02800C_A,,ORF|Uncharacterized,32
C5_02810W_A,,ORF|Uncharacterized,9
C5_02820C_A,,ORF|Uncharacterized,9
C5_02830W_A,,ORF|Uncharacterized,44
C5_02840C_A,HSL1,ORF|Verified,51
C5_02850W_A,,snoRNA|Uncharacterized,5
C5_02860C_A,GRP2,ORF|Verified,8
C5_02870C_A,,ORF|Dubious,11
C5_02880W_A,,long_terminal_repeat,5
C5_02890W_A,YNK1,ORF|Verified,10
C5_02900W_A,,ORF|Uncharacterized,4
C5_02910C_A,GYP8,ORF|Uncharacterized,20
C5_02920W_A,,ORF|Verified,23
C5_02930C_A,GRE3,ORF|Uncharacterized,14
C5_02940C_A,MIG1,ORF|Verified,3
C5_02950C_A,,ORF|Dubious,4
C5_02960C_A,,ORF|Dubious,5
C5_02970W_A,DAP2,ORF|Uncharacterized,28
C5_02980C_A,,ORF|Uncharacterized,9
C5_02990W_A,,ORF|Uncharacterized,10
C5_03000C_A,,ORF|Uncharacterized,44
C5_03010W_A,,ORF|Uncharacterized,5
C5_03020W_A,CCC2,ORF|Verified,48
C5_03030W_A,,ORF|Uncharacterized,18
C5_03040W_A,,ORF|Uncharacterized,14
C5_03050C_A,PGA58,ORF|Uncharacterized,13
C5_03060C_A,TNA1,ORF|Verified,24
C5_03070W_A,RPS5,ORF|Verified,0
C5_03080C_A,,ORF|Uncharacterized,28
C5_03090W_A,VPS4,ORF|Verified,8
C5_03100C_A,,ORF|Uncharacterized,11
C5_03110C_A,,ORF|Uncharacterized,0
C5_03120W_A,,ORF|Uncharacterized,3
C5_03130W_A,SUT1,ORF|Uncharacterized,13
C5_03140C_A,,ORF|Uncharacterized,6
C5_03150W_A,,ORF|Uncharacterized,23
C5_03160W_A,MED14,ORF|Uncharacterized,6
C5_03170C_A,,ORF|Uncharacterized,27
C5_03180W_A,,repeat_region,11
C5_03190W_A,,repeat_region,32
C5_03200C_A,,repeat_region,5
C5_03210C_A,,ORF|Uncharacterized,0
C5_03220C_A,,long_terminal_repeat,2
C5_03230W_A,,repeat_region,3
C5_03240W_A,BUB3,ORF|Uncharacterized,12
C5_03250W_A,RMS1,ORF|Uncharacterized,18
C5_03260C_A,,ORF|Uncharacterized,31
C5_03270W_A,TEF4,ORF|Uncharacterized,13
C5_03280W_A,CAM1-1,ORF|Uncharacterized,14
C5_03290C_A,,ORF|Uncharacterized,0
C5_03300C_A,,ORF|Uncharacterized,10
C5_03310C_A,PCL1,ORF|Verified,9
C5_03320C_A,ZCF14,ORF|Verified,12
C5_03330C_A,ZCF13,ORF|Verified,41
C5_03340W_A,,ORF|Dubious,22
C5_03350W_A,QCR2,ORF|Verified,0
C5_03360W_A,RPO26,ORF|Verified,0
C5_03370C_A,,ORF|Uncharacterized,5
C5_03380W_A,ARP1,ORF|Uncharacterized,0
C5_03390C_A,FUR1,ORF|Verified,11
C5_03400C_A,,ORF|Alternatively spliced|Uncharacterized,1
C5_03410C_A,,ORF|Uncharacterized,0
C5_03420W_A,tE(UUC)5,tRNA|Uncharacterized,1
C5_03430W_A,,ORF|Uncharacterized,10
C5_03440W_A,,ORF|Uncharacterized,5
C5_03450W_A,,snoRNA|Uncharacterized,1
C5_03460C_A,,ORF|Uncharacterized,11
C5_03470C_A,,ORF|Uncharacterized,15
C5_03480C_A,,ORF|Verified,14
C5_03490C_A,,ORF|Uncharacterized,16
C5_03500W_A,GAP6,ORF|Verified,13
C5_03510C_A,,ORF|Uncharacterized,30
C5_03520W_A,,ORF|Uncharacterized,12
C5_03530C_A,,ORF|Uncharacterized,1
