Bin index,yH298-parent-pool1_normalized,yH298-parent-pool1_normalized rank
CP048237.1-88,66,228
CP048237.1-89,35,592
CP048237.1-90,78,160
CP048237.1-91,154,33
CP048237.1-92,72,182
CP048237.1-93,50,376
CP048237.1-94,47,402
CP048237.1-95,195,12
CP048237.1-96,63,257
CP048237.1-97,304,1
CP048237.1-98,130,45
CP048237.1-99,243,6
CP048237.1-100,56,316
CP048237.1-101,46,416
CP048237.1-102,53,341
CP048237.1-103,42,462
CP048237.1-104,58,302
CP048237.1-105,25,781
CP048238.1-0,5,1187
CP048238.1-1,0,1248
CP048238.1-2,32,636
CP048238.1-3,25,782
CP048238.1-4,81,148
CP048238.1-5,37,545
CP048238.1-6,67,218
CP048238.1-7,55,328
CP048238.1-8,46,417
CP048238.1-9,12,1057
CP048238.1-10,33,621
CP048238.1-11,45,427
CP048238.1-12,53,342
CP048238.1-13,39,507
CP048238.1-14,23,823
CP048238.1-15,81,149
CP048238.1-16,40,492
CP048238.1-17,85,134
CP048238.1-18,73,179
CP048238.1-19,68,211
CP048238.1-20,35,593
CP048238.1-21,19,909
CP048238.1-22,25,783
CP048238.1-23,8,1144
CP048238.1-24,22,841
CP048238.1-25,43,452
CP048238.1-26,30,668
CP048238.1-27,85,135
CP048238.1-28,47,403
CP048238.1-29,98,90
CP048238.1-30,9,1127
CP048238.1-31,91,117
CP048238.1-32,63,258
CP048238.1-33,56,317
CP048238.1-34,28,707
CP048238.1-35,105,79
CP048238.1-36,84,136
CP048238.1-37,61,270
CP048238.1-38,56,318
CP048238.1-39,210,10
CP048238.1-40,130,46
CP048238.1-41,38,530
CP048238.1-42,30,669
CP048238.1-43,72,183
CP048238.1-44,225,8
CP048238.1-45,88,124
CP048238.1-46,22,842
CP048238.1-47,45,428
CP048238.1-48,80,152
CP048238.1-49,34,604
CP048238.1-50,31,657
CP048238.1-51,54,332
CP048238.1-52,18,935
CP048238.1-53,60,278
CP048238.1-54,79,156
CP048238.1-55,65,235
CP048238.1-56,38,531
CP048238.1-57,48,390
CP048238.1-58,0,1249
CP048238.1-59,25,784
CP048238.1-60,68,212
CP048238.1-61,0,1250
CP048238.1-62,12,1058
CP048238.1-63,7,1156
CP048238.1-64,10,1104
CP048238.1-65,3,1212
CP048238.1-66,21,863
CP048238.1-67,38,532
CP048238.1-68,78,161
CP048238.1-69,21,864
CP048238.1-70,80,153
CP048238.1-71,77,165
CP048238.1-72,36,569
CP048238.1-73,36,570
CP048238.1-74,0,1251
CP048238.1-75,1,1234
CP048239.1-0,2,1218
CP048239.1-1,0,1252
CP048239.1-2,19,910
CP048239.1-3,65,236
CP048239.1-4,35,594
CP048239.1-5,60,279
CP048239.1-6,70,198
CP048239.1-7,7,1157
CP048239.1-8,48,391
CP048239.1-9,11,1086
CP048239.1-10,68,213
CP048239.1-11,12,1059
CP048239.1-12,28,708
CP048239.1-13,21,865
